_id,title,rotten_tomato_rating,audience_rating,director,writers,top_5_billed
5f184b72eec2a42d5d9cce5e,Avengers: Endgame,94%,90%,['Anthony Russo'],"['Christopher Markus', ' Stephen McFeely']","['Robert Downey Jr. ', 'Mark Ruffalo ', 'Scarlett Johansson ', 'Chris Evans ', 'Chris Hemsworth ']"
5f184b81eec2a42d5d9cce5f,Pirates of the Caribbean: On Stranger Tides,33%,54%,"['Dariusz Wolski', ' Rob Marshall']","['Rob Marshall', ' Terry Rossio', ' Ted Elliott']","['Johnny Depp ', 'Penelope Cruz ', 'Ian McShane ', 'Geoffrey Rush ', 'Kevin McNally ']"
5f184b90eec2a42d5d9cce60,Avengers: Age of Ultron,76%,83%,['Joss Whedon'],"['Stan Lee', ' Jack Kirby', ' Joss Whedon']","['Robert Downey Jr. ', 'Chris Evans ', 'Mark Ruffalo ', 'Chris Hemsworth ', 'Linda CardelliniScarlett Johansson ']"
5f184ba0eec2a42d5d9cce61,Avengers: Infinity War,85%,91%,['Anthony Russo'],"['Christopher Markus', ' Stephen McFeely']","['Robert Downey Jr. ', 'Chris Hemsworth ', 'Mark Ruffalo ', 'Chris Evans ', 'Scarlett Johansson ']"
5f184bbeeec2a42d5d9cce62,Star Wars: The Rise of Skywalker,51%,86%,['J.J. Abrams'],"['J.J. Abrams', ' Chris Terrio']","['Carrie Fisher ', 'Mark Hamill ', 'Adam Driver ', 'Daisy Ridley ', 'John Boyega ']"
5f184bcfeec2a42d5d9cce63,Solo: A Star Wars Story,70%,63%,['Ron Howard'],"['Lawrence Kasdan', ' Jon Kasdan']","['Alden Ehrenreich ', 'Joonas Suotamo ', 'Woody Harrelson ', 'Emilia Clarke ', 'Donald Glover ']"
5f184bdbeec2a42d5d9cce64,John Carter,52%,60%,"['Andrew Stanton', ' Mark Atkins']","['Mark Atkins', ' Mark Andrews', ' Michael Chabon', ' Andrew Stanton']","['Taylor Kitsch ', 'Lynn Collins ', 'Samantha Morton ', 'Willem Dafoe ', 'Antonio Sabato Jr.Thomas Haden Church ']"
5f184be1eec2a42d5d9cce65,Batman v Superman: Dawn of Justice,28%,62%,['Zack Snyder'],"['Zack Snyder', ' David S. Goyer', ' Chris Terrio']","['Ben Affleck ', 'Henry Cavill ', 'Amy Adams ', 'Diane Lane ', 'Laurence Fishburne ']"
5f184bf2eec2a42d5d9cce66,The Lion King,93%,93%,"['Roger Allers', ' Rob Minkoff']","['Linda Woolverton', ' Jonathan Roberts', ' Irene Mecchi']","['Matthew Broderick ', 'Jeremy Irons ', 'James Earl Jones ', 'Nathan Lane ', 'Moira Kelly ']"
5f184bfceec2a42d5d9cce67,Tangled,89%,87%,"['Nathan Greno', ' Byron Howard']","['Jacob Grimm', ' Dan Fogelman']","['Zachary Levi ', 'Donna Murphy ', 'Ron Perlman ', 'M.C. Gainey ', 'Jeffrey Tambor ']"
5f184c05eec2a42d5d9cce68,Captain America: Civil War,91%,89%,['Anthony Russo'],"['Christopher Markus', ' Stephen McFeely']","['Chris Evans ', 'Robert Downey Jr. ', 'Scarlett Johansson ', 'Sebastian Stan ', 'Anthony Mackie ']"
5f184c14eec2a42d5d9cce69,Harry Potter and the Half-Blood Prince,83%,78%,['David Yates (II)'],['Steve Kloves'],"['Daniel Radcliffe ', 'Emma Watson ', 'Rupert Grint ', 'Tom Felton ', 'Helena Bonham Carter ']"
5f184c23eec2a42d5d9cce6a,The Hobbit: The Desolation of Smaug,74%,85%,['Peter Jackson'],"['Guillermo del Toro', ' Peter Jackson', ' Fran Walsh', ' Philippa Boyens']","['Ian McKellen ', 'Martin Freeman ', 'Richard Armitage ', 'Benedict Cumberbatch ', 'Evangeline Lilly ']"
5f184c2feec2a42d5d9cce6b,The Hobbit: The Battle of the Five Armies,59%,74%,['Peter Jackson'],"['Fran Walsh', ' Philippa Boyens', ' Guillermo del Toro', ' J.R.R. Tolkien', ' Peter Jackson']","['Martin Freeman ', 'Ian McKellen ', '', 'Thorin Oakenshield', 'Bilbo Baggins (old)']"
5f184c36eec2a42d5d9cce6c,The Fate of the Furious,67%,72%,['F. Gary Gray'],['Chris Morgan'],"['Vin Diesel ', 'Dwayne Johnson ', 'Jason Statham ', 'Michelle Rodriguez ', 'Tyrese Gibson ']"
